LCSC Part,First Category,Second Category,MFR.Part,Package,Solder JointManufacturer,Library Type,Description,Datasheet,Stock,Price
C17557,Resistors,Chip Resistor - Surface Mount,0805W8F2200T5E,0805,2UNI-ROYAL(Uniroyal Elec),base,125mW Thick Film Resistors ±100ppm/℃ ±1% 220Ω 0805  Chip Resistor - Surface Mount ROHS,https://datasheet.lcsc.com/lcsc/2206010200_UNI-ROYAL-Uniroyal-Elec-0805W8F2200T5E_C17557.pdf,278169,"20-180:0.001718310,200-980:0.001388732,1000-1980:0.001094366,2000-9980:0.001014085,10000-10020:0.000908451,10040-:0.000908451"
C17560,Resistors,Chip Resistor - Surface Mount,0805W8F2202T5E,0805,2UNI-ROYAL(Uniroyal Elec),base,125mW Thick Film Resistors ±100ppm/℃ ±1% 22kΩ 0805  Chip Resistor - Surface Mount ROHS,https://datasheet.lcsc.com/lcsc/2206010200_UNI-ROYAL-Uniroyal-Elec-0805W8F2202T5E_C17560.pdf,329643,"20-180:0.001577465,200-980:0.001254930,1000-1980:0.000992958,2000-9980:0.000915493,10000-10020:0.000811268,10040-:0.000811268"
C17561,Resistors,Chip Resistor - Surface Mount,0805W8F220JT5E,0805,2UNI-ROYAL(Uniroyal Elec),base,125mW Thick Film Resistors ±100ppm/℃ ±1% 22Ω 0805  Chip Resistor - Surface Mount ROHS,https://datasheet.lcsc.com/lcsc/2206010200_UNI-ROYAL-Uniroyal-Elec-0805W8F220JT5E_C17561.pdf,340947,"20-180:0.001535211,200-980:0.001202817,1000-1980:0.001002817,2000-9980:0.000923944,10000-10020:0.000818310,10040-:0.000818310"
C17572,Resistors,Chip Resistor - Surface Mount,0805W8F2400T5E,0805,2UNI-ROYAL(Uniroyal Elec),base,125mW Thick Film Resistors ±100ppm/℃ ±1% 240Ω 0805  Chip Resistor - Surface Mount ROHS,https://datasheet.lcsc.com/lcsc/2206010200_UNI-ROYAL-Uniroyal-Elec-0805W8F2400T5E_C17572.pdf,161150,"20-180:0.001492958,200-980:0.001163380,1000-1980:0.000991549,2000-9980:0.000912676,10000-10020:0.000809859,10040-:0.000809859"
C17575,Resistors,Chip Resistor - Surface Mount,0805W8F2402T5E,0805,2UNI-ROYAL(Uniroyal Elec),base,125mW Thick Film Resistors ±100ppm/℃ ±1% 24kΩ 0805  Chip Resistor - Surface Mount ROHS,https://datasheet.lcsc.com/lcsc/2206010200_UNI-ROYAL-Uniroyal-Elec-0805W8F2402T5E_C17575.pdf,133380,"20-180:0.001577465,200-980:0.001246479,1000-1980:0.001000000,2000-9980:0.000921127,10000-10020:0.000816901,10040-:0.000816901"
C17589,Resistors,Chip Resistor - Surface Mount,0805W8F2703T5E,0805,2UNI-ROYAL(Uniroyal Elec),base,125mW Thick Film Resistors ±100ppm/℃ ±1% 270kΩ 0805  Chip Resistor - Surface Mount ROHS,https://datasheet.lcsc.com/lcsc/2206010200_UNI-ROYAL-Uniroyal-Elec-0805W8F2703T5E_C17589.pdf,63920,"20-180:0.001507042,200-980:0.001178873,1000-1980:0.001005634,2000-9980:0.000925352,10000-10020:0.000821127,10040-:0.000821127"
C17590,Resistors,Chip Resistor - Surface Mount,0805W8F2700T5E,0805,2UNI-ROYAL(Uniroyal Elec),base,125mW Thick Film Resistors ±100ppm/℃ ±1% 270Ω 0805  Chip Resistor - Surface Mount ROHS,https://datasheet.lcsc.com/lcsc/2206010200_UNI-ROYAL-Uniroyal-Elec-0805W8F2700T5E_C17590.pdf,125112,"20-180:0.001521127,200-980:0.001197183,1000-1980:0.000998592,2000-9980:0.000919718,10000-10020:0.000815493,10040-:0.000815493"
C17593,Resistors,Chip Resistor - Surface Mount,0805W8F2702T5E,0805,2UNI-ROYAL(Uniroyal Elec),base,125mW Thick Film Resistors ±100ppm/℃ ±1% 27kΩ 0805  Chip Resistor - Surface Mount ROHS,https://datasheet.lcsc.com/lcsc/2206010200_UNI-ROYAL-Uniroyal-Elec-0805W8F2702T5E_C17593.pdf,65118,"20-180:0.001507042,200-980:0.001177465,1000-1980:0.001004225,2000-9980:0.000925352,10000-10020:0.000819718,10040-:0.000819718"
C17594,Resistors,Chip Resistor - Surface Mount,0805W8F270JT5E,0805,2UNI-ROYAL(Uniroyal Elec),base,125mW Thick Film Resistors ±100ppm/℃ ±1% 27Ω 0805  Chip Resistor - Surface Mount ROHS,https://datasheet.lcsc.com/lcsc/2206010200_UNI-ROYAL-Uniroyal-Elec-0805W8F270JT5E_C17594.pdf,41929,"20-180:0.001521127,200-980:0.001192958,1000-1980:0.001016901,2000-9980:0.000936620,10000-10020:0.000829577,10040-:0.000829577"
C17604,Resistors,Chip Resistor - Surface Mount,0805W8F2001T5E,0805,2UNI-ROYAL(Uniroyal Elec),base,125mW Thick Film Resistors ±100ppm/℃ ±1% 2kΩ 0805  Chip Resistor - Surface Mount ROHS,https://datasheet.lcsc.com/lcsc/2206010200_UNI-ROYAL-Uniroyal-Elec-0805W8F2001T5E_C17604.pdf,1091276,"20-180:0.001535211,200-980:0.001207042,1000-1980:0.000992958,2000-9980:0.000914085,10000-10020:0.000811268,10040-:0.000811268"
